title,service_center,X2008,X2009,X2010,X2011,X2012,X2013,XAll_Years
 All occupations,California S.C.,126,119,138,120,110,65,124
 All occupations,National B.C.,0,0,0,167,0,0,167
 All occupations,Nebraska S.C.,0,0,100,0,12,0,56
 All occupations,Vermont S.C.,140,121,138,123,109,0,126
"Accountants, Auditors and Related Jobs",California S.C.,193,155,165,155,124,59,152
"Accountants, Auditors and Related Jobs",Vermont S.C.,204,168,189,151,105,0,163
Administrative Specializations,California S.C.,157,162,150,148,126,78,150
Administrative Specializations,Vermont S.C.,186,164,163,143,116,0,154
Advertising Management Jobs,California S.C.,126,138,139,149,149,91,147
Advertising Management Jobs,Vermont S.C.,165,176,169,159,135,0,161
Aeronautical Engineering Jobs,California S.C.,139,222,208,96,88,52,143
Aeronautical Engineering Jobs,Vermont S.C.,180,207,138,154,73,0,150
Agents and Appraisers,California S.C.,117,235,346,45,107,67,164
Agents and Appraisers,Vermont S.C.,0,65,115,144,135,0,92
Agricultural Engineering Jobs,California S.C.,42,72,131,137,116,75,108
Agricultural Engineering Jobs,Vermont S.C.,159,69,185,160,87,0,132
Agricultural Sciences,California S.C.,157,111,80,120,104,54,113
Agricultural Sciences,Vermont S.C.,151,113,127,123,130,0,129
Airplane Pilots and Navigators,California S.C.,99,150,5,0,0,0,42
Airplane Pilots and Navigators,Vermont S.C.,267,58,25,0,214,0,113
Anthropology,California S.C.,289,55,70,176,112,25,125
Anthropology,Vermont S.C.,0,0,0,18,126,0,29
Architectural Jobs,California S.C.,170,160,113,119,124,62,135
Architectural Jobs,Vermont S.C.,152,131,128,130,98,0,128
"Architecture, Engineering and Surveying",California S.C.,171,162,179,139,118,57,147
"Architecture, Engineering and Surveying",Vermont S.C.,139,165,166,121,105,0,139
Archivists,California S.C.,181,29,18,44,272,158,143
Archivists,Vermont S.C.,247,277,66,36,141,0,153
Art,California S.C.,72,150,90,150,111,95,127
Art,Vermont S.C.,195,143,152,141,91,0,144
Astronomy,California S.C.,262,79,143,158,80,45,135
Astronomy,Vermont S.C.,212,37,101,303,10,0,133
Athletics and Sports,California S.C.,136,145,150,130,122,112,151
Athletics and Sports,National B.C.,0,0,0,177,0,0,177
Athletics and Sports,Vermont S.C.,195,99,157,169,145,0,153
Biological Sciences,California S.C.,172,166,191,151,104,40,144
Biological Sciences,Vermont S.C.,164,108,153,127,113,0,133
Budget and Management Systems Analysts,California S.C.,188,146,171,137,118,82,154
Budget and Management Systems Analysts,Vermont S.C.,215,164,172,153,112,0,163
Ceramic Engineering Jobs,California S.C.,45,25,132,89,88,44,78
Ceramic Engineering Jobs,Vermont S.C.,101,36,258,141,46,0,116
Chemical Engineering Jobs,California S.C.,121,150,148,143,91,51,126
Chemical Engineering Jobs,Vermont S.C.,174,146,162,131,84,0,139
Chemistry,California S.C.,141,149,198,142,95,43,135
Chemistry,Vermont S.C.,134,137,149,92,107,0,124
Civil Engineering Jobs,California S.C.,171,124,139,115,130,64,135
Civil Engineering Jobs,Vermont S.C.,166,141,139,133,114,0,139
Clergy,California S.C.,69,69,102,142,114,57,102
Clergy,Vermont S.C.,106,69,61,97,87,0,84
College and University Education,California S.C.,158,160,179,151,87,34,134
College and University Education,Vermont S.C.,183,154,208,138,135,0,164
Computer System Technical Support,California S.C.,198,135,167,153,139,110,169
Computer System Technical Support,National B.C.,0,0,0,150,0,0,150
Computer System Technical Support,Vermont S.C.,186,158,170,161,125,0,160
Computer System User Support,California S.C.,141,97,76,127,78,69,110
Computer System User Support,Vermont S.C.,145,94,180,139,121,0,136
Computer-Related Jobs,California S.C.,223,177,175,132,104,71,159
Computer-Related Jobs,Vermont S.C.,226,189,200,156,99,0,174
Construction Industry Managers and Officials,California S.C.,157,82,198,99,164,89,146
Construction Industry Managers and Officials,Vermont S.C.,157,107,148,97,103,0,122
Dancing,California S.C.,36,135,135,188,239,123,163
Dancing,Vermont S.C.,118,112,305,118,157,0,162
