year,service_center,title,initial,renew
2008,California Service Center,"ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS",193,137
2008,California Service Center,ADVERTISING MANAGEMENT OCCUPATIONS,126,131
2008,California Service Center,AERONAUTICAL ENGINEERING OCCUPATIONS,139,127
2008,California Service Center,"AGENTS AND APPRAISERS, N.E.C.",117,146
2008,California Service Center,AGRICULTURAL ENGINEERING OCCUPATIONS,42,172
2008,California Service Center,AIRPLANE PILOTS AND NAVIGATORS,99,288
2008,California Service Center,ARCHITECTURAL OCCUPATIONS,170,124
2008,California Service Center,ARCHIVISTS,181,29
2008,California Service Center,BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS,188,123
2008,California Service Center,CERAMIC ENGINEERING OCCUPATIONS,45,44
2008,California Service Center,CHEMICAL ENGINEERING OCCUPATIONS,121,124
2008,California Service Center,CIVIL ENGINEERING OCCUPATIONS,171,135
2008,California Service Center,CLERGY,69,95
2008,California Service Center,"COMMERCIAL ARTISTS: DESIGNERS & ILLUSTRATORS, GRAPHIC ARTS",171,108
2008,California Service Center,"COMPUTER-RELATED OCCUPATIONS, N.E.C.",223,151
2008,California Service Center,CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS,157,80
2008,California Service Center,DENTISTS,145,107
2008,California Service Center,DIETICIANS,142,136
2008,California Service Center,"DRAFTERS, N.E.C.",239,85
2008,California Service Center,"EDITORS: PUBLICATION, BROADCAST, AND SCRIPT",103,81
2008,California Service Center,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,162,126
2008,California Service Center,"ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS",160,129
2008,California Service Center,FASHION MODELS,57,74
2008,California Service Center,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICALS",120,118
2008,California Service Center,"FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS",89,63
2008,California Service Center,HOME ECONOMISTS AND FARM ADVISERS,154,84
2008,California Service Center,INDUSTRIAL ENGINEERING OCCUPATIONS,165,112
2008,California Service Center,"INSPECTORS AND INVESTIGATORS, MANAGERIAL & PUBLIC SERVICE",38,96
2008,California Service Center,INTERPRETERS AND TRANSLATORS,132,115
2008,California Service Center,INVALID CODE,131,88
2008,California Service Center,JUDGES,,21
2008,California Service Center,LAWYERS,221,115
2008,California Service Center,LIBRARIANS,35,77
2008,California Service Center,MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS,128,92
2008,California Service Center,MARINE ENGINEERING OCCUPATIONS,189,80
2008,California Service Center,MECHANICAL ENGINEERING OCCUPATIONS,187,117
2008,California Service Center,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,112,96
2008,California Service Center,MINING AND PETROLEUM ENGINEERING OCCUPATIONS,169,143
2008,California Service Center,MINING INDUSTRY MANAGERS AND OFFICIALS,,19
2008,California Service Center,"MISC. PROFESSIONAL, TECHNICAL, & MANAGERIAL OCC.,N.E.C.",168,126
2008,California Service Center,"MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.",122,93
2008,California Service Center,MUSEUM CURATORS AND RELATED OCCUPATIONS,44,107
2008,California Service Center,NO CODE PROVIDED OR ILLEGIBLE,155,117
2008,California Service Center,NUCLEAR ENGINEERING OCCUPATIONS,36,39
2008,California Service Center,"OCC. IN ARCHITECTURE, ENGINEERING, & SURVEYING, N.E.C.",171,116
2008,California Service Center,"OCC. IN PRESCHOOL, PRIMARY SCHOOL, & KINDERGARTEN EDUCATION",81,95
2008,California Service Center,"OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.",157,121
2008,California Service Center,OCCUPATIONS IN AGRICULTURAL SCIENCES,157,105
2008,California Service Center,OCCUPATIONS IN ANTHROPOLOGY,289,253
2008,California Service Center,"OCCUPATIONS IN ART, N.E.C.",72,93
2008,California Service Center,OCCUPATIONS IN ASTRONOMY,262,99
2008,California Service Center,OCCUPATIONS IN ATHLETICS AND SPORTS,136,143
2008,California Service Center,OCCUPATIONS IN BIOLOGICAL SCIENCES,172,150
2008,California Service Center,OCCUPATIONS IN CHEMISTRY,141,120
2008,California Service Center,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,158,152
2008,California Service Center,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,198,131
2008,California Service Center,OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT,141,78
2008,California Service Center,OCCUPATIONS IN DANCING,36,96
2008,California Service Center,OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS,203,146
2008,California Service Center,OCCUPATIONS IN DRAMATICS,51,95
2008,California Service Center,OCCUPATIONS IN ECONOMICS,163,107
2008,California Service Center,OCCUPATIONS IN EDUCATION OF PERSONS WITH DISABILITIES,75,85
2008,California Service Center,"OCCUPATIONS IN EDUCATION, N.E.C.",106,107
2008,California Service Center,"OCCUPATIONS IN ENTERTAINMENT AND RECREATION, N.E.C.",184,79
2008,California Service Center,OCCUPATIONS IN GEOLOGY,148,137
2008,California Service Center,OCCUPATIONS IN HISTORY,22,66
2008,California Service Center,"OCCUPATIONS IN LAW AND JURISPRUDENCE, N.E.C.",109,152
2008,California Service Center,"OCCUPATIONS IN LIFE SCIENCES, N.E.C.",176,166
